id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
2479,John,Joubert,1927-03-20,,"Cape,South Africa",,,,
2480,Maurice,Journeau,1898-11-17,1999-06-09,"Biarritz,France","Versailles,France",,,
2481,Manuel,Juarez,,,Argentina,,,,
2482,Roger,Julià Satorra,1981-09-18,,"Manresa,Spain",,,,
2483,Bernard,Jumentier,1749-03-24,1829-12-17,"Lèves,France","Saint-Quentin,France",The French composer Bernard Jumentier was Maître de chapelle at the Collégiale from 1776 till his death. In Saint-Quentin there is a road that is named after him.,,
2484,Benedetto,Junck,1852-08-21,1903-10-03,"Torino,Italy","San,Italy",,,
2485,Coelestin,(Franz Ferdinand) Jungbauer,1747-07-06,1823-03-25,"Grattersdorf,Germany","Ingolstadt,Germany",,,
2486,Carl,Ludwig Junker,1748-08-03,,Austria (?),,"Junker was a dilettante composer and the author of some half-dozen small works upon music — musical almanacs published anonymously, and the like, all now forgotten save by collectors, as are his pianoforte concertos — but at that time he was a man of no small mark in the musical world of Western Germany.",,
2487,Paul,Juon,1872-03-06,1940-08-21,"Moscow,Russia","Vevey,Switzerland",,,
2488,Andrejs,Jurjāns,1856-09-30,1922-09-28,Latvia,"Rīgā,Latvia","Together with Jazeps Vītols, Andrejs Jurjāns was the founder of the Latvian national style of classical instrumental music.",,
2489,Johann,Strauß Jr. <small>(Strauss)</small>,1825-10-25,1899-06-03,"Wien,Austria","Wien,Austria",,,
2490,Joseph,Wihtol <small>(Jāzeps Vītols)</small>,1863-07-26,1948-04-24,"Valmiera,Latvia","Lübeck,Germany",,,
2491,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
2492,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
2493,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
2494,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
2495,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
2496,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
2497,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
2498,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
2499,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
2500,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
2501,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
2502,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
2503,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
2504,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
2505,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
2506,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
2507,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
2508,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
2509,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
2510,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
2511,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
2512,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
2513,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
2514,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
2515,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
2516,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
2517,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
2518,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
2519,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
2520,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
2521,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
2522,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
2523,Nicolay,Apollyon <small>(Kjell Johnsen)</small>,1945-04-17,,"Skien,Norway",,"The Norwegian composer Nicolay Apollyon, born as Kjell Johnsen, is also an organist.",,
2524,Chan,Ka Nin,1949-12-03,,"Hong,Hong Kong",,,,
2525,Albert,de Klerk,1917-10-04,1998-12-01,"Haarlem,The Netherlands","Haarlem,The Netherlands",,,
2526,Servaas,de Konink,,,"Dendermonde,Belgium",,,,
2527,Thomas,"Alexander Erskine, 6th Earl of Kellie <small>(Kelly)</small>",1732-09-01,1781-10-09,"Kellie,Scotland","Brussels,Belgium",,,
2528,Franz,Ignaz Kaa,1739-10-27,1818-05-08,"Offenburg,Germany","Köln,Germany",From 1777 till 1803 Franz Ignaz Kaa was Kapellmeister of the choir at the Cologne Dom.,,
2529,Jindrich,z Albestu (Heinrich) Kaan <small>(Kaan-Albest)</small>,1852-05-29,1926-03-07,"Tarnopol,Austria/Poland (now Ukraine)","Roudná,,Czech Republic",,,
2530,Jani,Kääriä,1969-12-24,,Finland,,,,
2531,Dmitri,Kabalevsky,1904-12-30,1987-02-16,"St.,Russia","Moscow,Russia",,,
2532,Miloslav,Kabeláč,1908-08-01,1979-09-17,"Prague,Czech Republic","Prague,Czech Republic",,,
2533,Jiří,Kadeřábek,1978-04-14,,"Zlín,Czech Republic",,,,
2534,John,F. Kaefer,1976-10-01,,USA,,,,
2535,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
2536,Mauricio,Kagel,1931-12-24,2008-09-18,"Buenos,Argentina","Köln,Germany",,,
2537,Sergius,Kagen,1909-08-22,1964-03-01,Germany (?),USA,"Sergius Kagen, pianist, composer, and teacher, studied with Leonid Kreutzer and Paul Juon at the Hochschule für Music in Berlin. After emigrating to the USA in 1925, he attended the Juilliard School of Music, where he studied with Carl Friedberg, Rubin Goldmark, and Marcella Sembrich. He taught on the faculties of the Juilliard School and the Union Theological Seminary and through his writings about music and editions of vocal music, established himself as an influential pedagogue.",,
2538,Erich,Itor Kahn,1905-07-23,1956-03-05,"Rimbach,Germany","New,USA",,,
2539,Vasily,Sergeyevich Kalinnikov,1866-01-13,1901-01-11,"Voin,,Russia","Yalta,,Russia",,,
2540,Christian,Kalkbrenner,1755-09-22,1806-08-10,"Minden,Germany","Paris,France",,,
2541,Friedrich,Wilhelm Michael Kalkbrenner,1785-11-08,1849-06-11,"near,Germany","Enghien-les-Bains,France",,,
2542,Johann,Wenzel Kalliwoda,1801-02-21,1866-12-03,"Praha,Czech Republic","Karlsruhe,Germany",,,
2543,Edvin,Kallstenius,1881-08-29,1967-11-22,"Filipstad,Sweden","Stocksund,Sweden",,,
2544,Emmerich,Kálmán,1882-10-24,1953-10-30,"Siófok,Hungary","Paris,France",,,
2545,Manolis,Kalomiris,,,"Smyrna,Turkey","Athens,Greece","He has been director of the Athens Conservatory for many years. Following the example of the national Russian musical school, he tried to form a Greek musical school, using tradional rythms and tempos.",,
2546,Michael,Kamen,1948-04-15,,"New,USA",,Michael Kamen is mainly known as a composer of music for films and television.,,
2547,Heinrich,Kaminsky,1886-07-04,1946-06-21,"Tiengen,Germany","Ried,Germany",,,
2548,Antonín,"Kammel <small>(Kamml, Kamel, Kammel)</small>",,1784-10-05,,"London,England",The Bohemian composer Antonín Kammel was also a violinist.,,
2549,Arthur,Kampela,,,"Rio,Brazil",,"Kampela received a doctorate in composition from Columbia University where he studied with Mario Davidovsky and Fred Lerdahl. In 1993, he received private lessons from the British composer Brian Ferneyhough.",,
2550,Shigeru,Kan-no,1959-05-03,,"Fukushima,Japan",,,,
2551,Babis,(Charalambos) Kanas,,,"N.,Greece",,,,
2552,Giya,Kancheli,1935-08-10,,"Tblisi,Georgia",,,,
2553,Ejnar,Kanding,1965-03-29,,"Osted,Denmark",,,,
2554,Raimo,Kangro,1949-09-21,2001-02-04,"Tarto,Estonia","Ruila,Estonia",,,
2555,Johann,[Jan] Nepomuk Kaňka,1772-11-10,1865-04-05,"Prague,Czech Republic","Prague,Czech Republic",The New Grove gives 1863 as the year of Kaňka’s death.,,
2556,Friedrich,August Kanne,1778-03-08,1833-12-16,"?,Germany","?,Austria","The German theologist, composer and poet Friedrich August Kanne lived in Vienna from 1808, where he became friends with Beethoven. He helped Beethoven when he composed his Missa Solemnis, especially to help him understand the Latin text.",,
2557,Bozidar,Kantuser,,,Slovenia,France,,,
2558,Václav,Kaprál,1889-03-26,1947-04-06,"Určice,Czech Republic","Brno,Czech Republic",,,
2559,Vítězslava,Kaprálová,1915-01-24,1940-06-16,"Brno,Czech Republic","Montpellier,France",,,
2560,Johannes,Hieronymus Kapsberger <small>(Kapsperger)</small>,,1651-01-17,,"Rome,Italy","The Italian composer, lutenist, theorbist and guitarist Johannes Kapsberger was of German descent. The exact birth place and time is unknown, but  Venice seems to be very likely. His first names are also spelled Giovanni Girolamo or Giovanni Geronimo.",,
2561,Dmitri,Kapyrin <small>(Capyrin)</small>,1960-02-28,,"Moscow,Russia",,"Full information:  <a href=""http://www.capyrin.com"">http://www.capyrin.com.",,
2562,Eleni,Karaindrou <small>(Ελένη Καραΐνδρου)</small>,,,,,Greek composer Eleni Karaindrou is best known for her music to the films of Theo Angelopoulos. Her date of birth is sometimes also given as 1939.,,
2563,Alemdar,Karamanov,,,Russia,,,,
2564,Faradj,Karayev <small>(Garayev)</small>,1943-12-19,,"Baku,Azerbaijan",,,,
2565,Kara,"(Gara) Karayev <small>(Garayev, Karaev)</small>",1918-02-05,1982-05-13,"Baku,Azerbaijan","Moscow,Russia",,,
2566,Leah,Kardos,1979-04-21,,"Southport,Australia",,Leah Kardos was born and educated in Australia. She studied composition under Dr. Philip Bracanin and Nigel Sabin. She is now living in the UK and working as a lecturer in composition and music theory at Bedford College and the University of Bedfordshire.,,
2567,Sigfrid,Karg-Elert,1877-11-21,1933-04-09,"Oberndorf,Germany","Leipzig,Germany",,,
2568,Panayoti,Karoussos,1967-01-06,,"Arta,Greece",,He created the Karoussos Liberty Award.,,
2569,Mieczysław,Karłowicz,1876-12-11,1909-02-08,"Wiszniew,,Lithuania","near,Poland",,,
2570,Georgios,Kasassoglou,1908-12-01,1984-06-02,"Athen,Greece","Athen,Greece",,,
2571,Kevin,Kastning,1960-12-26,,"Kansas,USA",,,,
2572,Nikolaos,Katsoulis,1971-03-02,,"Alex/polis,Greece",,,,
2573,Hugo,Kauder,1888-06-09,1972-07-22,"Tobitschau,Moravia - Czech Republic","Bussum,The Netherlands",,,
2574,Georg,Friedrich Kaufmann,,,,,,,
2575,Vassil,Kazandjiev,1934-09-10,,"Rousse,Bulgaria",,"Vassil Kazandjiev made his way into the Bulgarian music scene as a true child prodigy. In 1952, Kazandjiev was already in Sofia, his name first in the list of the students admitted to the composition and conducting program at the State Academy of Music. His teachers were Pancho Wladigerov and V. Simeonov, yet it was Konstantin Iliev who remained his true spiritual mentor. After his graduation from the State Academy in Music in 1957, Kazandjiev was active as conductor at the Sofia Opera, founder and director of the Sofia Soloists Chamber Ensemble (1962-1978), director of the Symphony Orchestra of the Bulgarian National Radio, professor in conducting at the State Academy of Music.  <p> His artistic development was spontaneous and vigorous. His diploma work, Divertimento for Orchestra (1957) was followed by a decade of intensive explorations which went through the September, 23 overture (1963), to the first climax of his radicalism - the first string quartet Perspectives (1966), and the second symphony - Symphony of the Timbres (1968). Today, the composer is deservedly among the key figures of the Bulgarian musical avant-garde with his mature works &quot;Affreschi Sacri&quot;, &quot;Mirages&quot;, Reflections two cellos, Sonata for violin and cello.",,
2576,Ka’mi,,,,"Lisbon,Portugal",,,,
2577,Richard,Kearns,,,"North,Ireland",,,,
2578,Nigel,Keay,,,"Palmerston,New Zealand",,"Nigel Keay is a freelance composer, violist and violin teacher. In 1998 Keay moved to France, and he now lives in Paris.",,
2579,Cor,Kee,1900-11-24,1997-01-03,"Zaandam,The Netherlands","Zaandam,The Netherlands",Dutch organ player and composer. Also important teacher (Utrecht conservatory and International Organ Academy Haarlem).,,
2580,Piet,Kee,1927-08-30,,"Zaandam,The Netherlands",,,,
2581,Alfredo,Keil,1850-07-03,1907-10-04,"Lisboa,Portugal","Hamburg,Germany",,,
2582,Reinhard,Keiser,1674-01-21,1739-09-12,"Teuchern,Germany","Hamburg,Germany",,,
2583,Henry,Kelder,1973-07-08,,"Groningen,The Netherlands",,,,
2584,Milko,Kelemen,1924-03-13,,"Padravska,Croatia",,,,
2585,Max,Keller,1770-10-07,1855-12-12,"Trostberg,Germany","Altötting,Germany","Max Keller started his musical carreer in the Seeon Benedict monastry, first as a chorister, and later (1788) as an organist. From there he frequently travelled to Michael Haydn in Salzburg for music lessons. In 1799, he became the church organist in Burghausen. From 1801 till his death he was resident organist at Altötting.",,
2586,Anthony,Kelley,1965-02-28,,"North,USA",,,,
2587,Ralph,Kendrick,1972-01-21,,"Omaha,,USA",,,,
2588,Kent,Kennan,1913-04-18,2003-11-01,"Milwaukee,,USA","Austin,,USA",,,
2589,Marjory,Kennedy-Fraser,,,Scotland,Scotland,,,
2590,Johann,Caspar Kerll <small>(Kerl)</small>,1627-04-09,1693-02-13,"Adorf,Germany","München,Germany",,,
2591,Aaron,Jay Kernis,1960-01-15,,"Philadelphia,USA",,,,
2592,Gordon,Kerry,,,Australia,,,,
2593,Huub,Kerstens,1947-06-07,1999-02-24,"Den,The Netherlands","Amsterdam,The Netherlands",,,
2594,Albert,William Ketèlbey <small>(Ketelby)</small>,1875-08-09,1959-11-26,"Birmingham,England","Cowes,England",The British composer Albert Ketèlbey was also a conductor and a pianist. In his early works he used the pseudonyms Raoul Clifford and Anton Vodorinski. His real name is often spelt wrongly as “Ketelby”.,,
2595,Henry,Ketten,1848-03-25,1883-04-01,"Baja,Hungary","Paris,France",The Hungarian composers Herny Ketten was also a well-known pianist. His works are now almost forgotten.,,
2596,Aloys,Kettenus,1823-02-22,1870-12-18,"Verviers,Belgium","Paris,France",The Belgian composer Aloys Kettenus was also a violinist. He was a pupil of Charles Auguste de Bériot.,,
2597,Eugène,Ketterer,,1870-12-18,"Rouen,France","Paris,France",,,
2598,Otto,Ketting,1935-09-03,,"Amsterdam,The Netherlands",,,,
2599,Piet,Ketting,1905-11-29,,"Haarlem,The Netherlands","Rotterdam,The Netherlands",,,
2600,Tristan,Keuris,1946-10-03,1996-12-15,"Amersfoort,The Netherlands","Hilversum,The Netherlands",,,
2601,Edward,Keurvels,1853-03-08,1916-01-29,"Antwerpen,Belgium","Hoogboom-Ekeren,Belgium",,,
2602,Ivor,(Christopher Banfield) Keys <small>(Keyes)</small>,1919-03-08,1995-07-07,"Littlehampton,,England","Birmingham,England",,,
2603,Aram,Ilyich Khachaturian <small>(Chatschaturian)</small>,1903-06-06,1978-05-01,"near,Georgia","Moscow,Russia",,,
2604,Ivan,Evstaf’evich Khandoshkin,,,,,,,
2605,Houtaf,Maroun Khoury,,,"Tripoli,Lebanon",,,,
2606,Tikhon,Nikolaievich Khrennikov,1913-06-10,2007-08-14,"Elets,Russia","Moscow,Russia",,,
2607,Michael,Kibbe,1945-06-26,,USA,,,,
2608,Friedrich,Kiel,1821-10-08,,"Puderbach,Germany",,"Friedrich Kiel was a highly respected composer of chamber music, and sacred choral music. a German musical encyclopaeda of the time said ""at his best he can be compared with Brahms. He was a very important teacher, among his students - Charles Villiers Stanford, and Ignaz Paderewski.  He died in Berlin as the result of a traffic accident his works are perhaps the best of those who were of the school of Brahms (chamber music).",,
2609,Carson,Kievman,,,"California,USA",,,,
2610,Wojciech,Kilar,1932-07-17,,"Lwów,Poland",,"Kilar studied at the State College of Music in Katowice, Poland under the composer/pianist Wladyslawa Markiewiczowna, graduating with top honors in 1955. He continued his graduate studies at the State College of Music in Cracow from 1955 to 1958 under composer/pianist Bolesław Woytowicz. His studies continued in Paris with Nadia Boulanger from 1959 to 1960.",,
2611,Mark,Kilstofte,1958-09-22,,USA,,,,
2612,Michael,A. Kimbell,,,USA,,,,
2613,Robert,(OSB) Kimmerling,1737-12-08,1799-12-05,"Wien,Austria","Oberweiden,Austria",Robert Kimmerling’s was really Johannes Evangelist Kimmerling. The OSB in his name means that he belonged to the order of Benedictine monks.,,
2614,Johann,Erasmus Kindermann,1616-03-29,1655-04-14,"Nürnberg,Germany","Nürnberg,Germany",The German Baroque composer Johann Erasmus Kindermann is also known as an organist. He is considered to be the most important composer of the Nuremberg school in the first half of the seventeenth century.,,
2615,Steven,Kings,1962-07-20,,"Worcester,England",,,,
2616,Theodor,Kirchner,1823-12-10,1903-09-18,"Neukirchen,Germany","Hamburg,Germany",,,
2617,Johann,Philipp Kirnberger,1721-04-24,1783-07-27,"Saalfeld,Germany","Berlin,Germany",,,
2618,Johann,Christian Kittel,,1809-04-17,"Erfurt,Germany",?,,,
2619,Halfdan,Kjerulf,,1868-08-11,"Christiania,Norway","Grefsen,,Norway",,,
2620,Uuno,(Kalervo) Klami,1900-09-20,1961-05-29,"Virolahti,Finland","Virolahti,Finland","The Finnsh composer Uuno Klami studied at the Helsinki College of Music, in Paris (with Ravel) and in Vienna (with Willner).",,
2621,Peter,(James Leonard) Klatzow,1945-07-14,,"Springs,,South Africa",,,,
2622,Giselher,Klebe,1925-06-28,2009-10-05,"Mannheim,Germany","Detmold,Germany",,,
2623,Henry,Kleber,,,Germany (?),USA,German-American composer Henry Kleber was a teacher of Stephen Foster.,,
2624,Jan,Kleczyński,1837-06-08,1895-09-15,"Janiewicze,,Poland (then Russia)","Warsaw,Poland","The Polish composer Jan Kleczyński was also a pianist, journalist and chess master. He graduated from the Paris Conservatory (1862), played in France, and returned to Poland in 1866.",,
2625,Gideon,Klein,1919-12-06,1945-01-27,"Prerov,,Czechoslovakia","Fürstengrube,,Poland","In December 1941 Gideon Klein has been deported to Theresienstadt (Teresin) where he composed and performed music with Karel Ancerl, Viktor Ullmann, Erwin Schulhoff, Pavel Haas and Hans Krása.  He was killed in Fürstengrube (German ""death camp"") on 27 Januari 1945.",,
2626,Franz,Xaver Kleinheinz,1765-06-26,1832-01-29,"Nassenbeuren,,Germany","Budapest,Hungary",The composer Franz Xaver Kleinheinz was also a pianist. He is also known because he is in some way responsible for Beethoven’s opus 41 and 42 as arranger or maybe even composer.,,
2627,Jakob,Friedrich Kleinknecht,,1794-08-11,,"Ansbach,Germany","The German composer, flutist, violinist and kapellmeister Jakob Friedrich Kleinknecht came from a musical family. His father played the organ in the Münster church of Ulm, and two brothers were musicians at the courts of Bayreuth and Ansbach, like Jakob Friedrich. His compositions are between Baroque and Classical in style.",,
2628,Richard,Kleinmichel,1846-12-31,1901-08-31,"Posen,Germany (now Poland)","Charlottenburg,Germany",The German composer Richard Kleinmichel made many piano arrangements of orchestral and operatic compositions.,,
2629,Otto,Klemperer,1885-05-14,1973-07-06,"Breslau,Germany (now Poland)","Zürich,Switzerland","Otto Klemperer was one of the greatest conductors of the 20th century, conducting at Hamburg, Bremen, Strasbourg, Cologne, Wiesbaden and Berlin, Los Angeles Philharmonia, Budapest, Montreal, Philarmonia London. He was Jewish and left Germany when the Nazis came into power.",,
2630,Julius,Klengel,1859-09-24,1933-10-27,"Leipzig,Germany","Leipzig,Germany",,,
2631,Nikolai,Semenovich Klenovsky,,,"Odessa,Russia",Russia,Russian composer Nikolai Klenovsky was Tchaikovsky’s pupil at the St. Petersburg conservatory.,,
2632,František,Kmoch,1848-08-01,1912-04-30,"Zásmuky,Czech Republic","Kolín,Czech Republic",,,
2633,Alexander,Knaifel,1943-11-28,,"Tashkent,Uzbekistan",,"Tashkent is now in Uzbekistan; in 1943 it was USSR, today it is a separate nation.",,
2634,Justin,Heinrich Knecht <small>(Knechtl)</small>,1752-09-30,1817-12-01,"Biberach,Germany","Biberach,Germany","Justin Heinrich Knecht(l) was a composer and organist, who worked in Biberach from 1771. He was also Vice-Kapellmeister in Stuttgart (1806–1808).",,
2635,Jan,Václav Knéžek,,,"Prague,Czech Republic",,,,
2636,Tim,Knight,1959-09-10,,"Northallerton,England, UK",,"Born 1959, Tim Knight became a chorister of York Minster 1969-1973, active as a choral conductor and singing teacher in North of England, also active promoter of New Music, established Yorkshire Composers Festival 1999.",,
2637,Oliver,Knussen,1952-06-12,,"Glasgow,Scotland",,,,
2638,Louis,Kobra,1967-08-22,,"Citrus,USA",,,,
2639,Marcelo,Koc,1918-06-04,,"Vitebsk,Russia",,"Argentine composer of russian origin. He studied at the Lodz Academy in Poland. In 1938 settled in Buenos Aires, Argentina, following studies with Jacobo Ficher, Guillermo Graetzer and Juan Carlos Paz.",,
2640,Hans,Günther Kochan,,,,,,,
2641,Nevit,Kodallı,1924-12-12,2009-09-01,"Mersin,Turkey","Mersin,Turkey","The Turkish composer Nevit Kodallı was also a conductor. He studied at the Ankara State Conservatory from 1939 to 1947. From 1948 he sudied in Paris with Nadia Boulanger andHonegger. From 1953 he lived in Turkey, where he teached at the Ankara Conservatory and conducted at the Ankara State Opera. He was composer at the State Opera from 1962.",,
2642,Zoltán,Kodály,1882-12-16,1967-03-06,"Kecskemét,Hungary","Budapest,Hungary",,,
2643,Charles,Koechlin,1867-11-27,1950-12-31,"Paris,France","Le,France",,,
2644,Jan,Koetsier,1911-08-14,2006-04-28,"Amsterdam,The Netherlands","München,Germany",,,
2645,Victor,Kohn,,,,,,,
2646,Joonas,Kokkonen,1921-11-13,1996-10-02,"Iisalmi,Finland","Järvenpää,Finland",,,
2647,Panayiotis,Kokoras,1974-04-23,,Greece,,,,
2648,Barbara,Kolb,1939-02-10,,USA,,,,
2649,Pierre,Kolp,1969-03-23,,"Köln,Germany",,,,
2650,Philipp,Koltsov,1962-07-20,,"Moscow,Russia",,"Russian composer, graduate of Moscow conservatory, winner of international competitions.",,
2651,Mykola,Terentiyevich Kolyada,1907-04-04,1935-07-30,"Berezovka,,Ukraine","climbing,Ukraine",,,
2652,Vojin,Komadina,1933-11-08,1997-02-09,"Karlovac,Bosnia-Hercegovina","Belgrade,Bosnia-Hercegovina",,,
2653,Krzysztof,Komeda <small>(Trzciński)</small>,1931-04-27,1969-04-23,"Poznań,Poland","Warsaw,Poland","The Polish composer Krzysztof Komeda (born as Trzciński), was jazz pianist and bandleader. He wrote much film music.",,
2654,Karl,Michael Komma,1913-12-24,,"Asch,Germany [now Czech Republic]",,,,
2655,Karl,Komzak,1850-11-08,1905-04-23,"Praha,Czech Republic","Baden,,Austria",,,
2656,Heinrich,Konietzny,1910-05-10,,"Gleiwitz,Germany",,,,
2657,Pavel,Kopecky,1949-04-04,,"Praha,Czech Republic",,,,
2658,Alexander,Alexandrovich Kopylov,1854-07-14,1911-02-20,"St,Russia","Strelna,Russia",Kopylov was a composer and violinist.,,
2659,Nicolai,S. Korndorf,1947-01-23,2001-05-30,"Moscow,Russia","Vancouver,Canada",,,
2660,Erich,Wolfgang Korngold,1897-05-29,1957-11-29,"Brno,Czech Republic","Hollywood,USA",,,
2661,Oswald,Korte,,,"18??,Germany (?)","18??,Germany (?)",,,
2662,Irena,Kosíková,,,,,,,
2663,Sergei,Kossenko,,,"Moscow,Russia",,"Kossenko has degrees from the <b>Central Music School for the Youth in Moscow (piano, composition), the <b>Moscow Conservatory of Music (composition), and <b>Dartmouth College in Hanover, New Hampshire (music technology).",,
2664,Pèter,Köszeghy,1971-09-02,,"Balassagyarmat,Hungary",,,,
2665,Andrzej,Koszewski,1922-07-26,,"Poznań,Poland",,,,
2666,Rudolf,Koumans,1929-02-02,,"Delft,The Netherlands",,,,
2667,Ioannis,Kourtis,1973-08-08,,"Thessaloniki,Greece",,"Ioannis Kourtis is born in Thessaloniki in 1973. In 1982, he follows harmony’s and classical guitar’s lessons at Delidimos Conservatory of Thessaloniki. In 1986, he also begins violin’s lessons. In 1991, he obtains the harmony’s diploma of the conservatory. One year after, he is accepted at Ionian University in the music department. From 1994 until 1996, he is member of the symphonic orchestra of Corfu as a second violin and he is also teacher of classical guitar and harmony in the municipal music school of Filiates in Epirus. From the beginning of his musical career, Ioannis Kourtis is interested in composition. Even if he is a young composer, some of his works have already been played in public. In September 2000, he obtains his master of music (option composition) of the Ionian University. In February 2001, he was finalist of the film music composition competition of Lunéville (France) and in December 2002 he was member of the panel of jury in the International Festival of Cinema and Technology in Paris. In France since 1999, he is in relation with different orchestras and ensembles and he is member of S.A.C.E.M.",,
2668,Sergei,Koussevitzky <small>(Сергей Александрович Кусевицкий)</small>,1874-07-26,1951-06-04,"Vysjni,Russia","Boston,USA",,,
2669,Matti,Kovler,1980-09-14,,"Moscow,Russia",,"Matti Kovler, 28, was born in the Soviet Union and
 spent his childhood in Moscow, where he started to play the piano and write small
 pieces. When he was 10, 
his family emigrated to Jerusalem and he encountered the Hungarian-born composer Andre
 Hajdu (who studied at the Paris Conservatoire National de Musique under Darius Milhaud and Olivier Messiaen). By his late teens, Matti was already a successful composer and had an opera already staged, Ami and
 Tammy, inspired by the story of Hänsel and Gretel. Following his army service in Israel, he received his
 bachelor’s degree from the Jerusalem Academy of Music and Dance (working with Menachem Wiesenberg and Michael Wolpe). He earned his master’s degree from the New England Conservatory (NEC), and is currently working towards his Ph.D., also at NEC.  His teachers and mentors in this country include John Heiss, Anthony Coleman, and Michael Gandolfi, to name a few. He was a 
Tanglewood Fellow in the composition program in Summer 2008 and is currently a fellow at Aspen Music Festival.",,
2670,Marc,Kowalczyk,1973-10-08,,"Clamart,France",,,,
2671,Hans,Kox,1930-05-19,,"Arnhem,The Netherlands",,,,
2672,Leopold,"Koželuh <small>(Kozeluch, Kotzeluch)</small>",1747-06-26,1818-05-07,"Velvary,Bohemia","Wien,Austria",,,
2673,Boris,Tikhonovich Kozhevnikov,1906-11-30,1985-04-08,"Novgorod,Russia",unknown,,,
2674,William,Kraft,,,"Chicago,,USA",,,,
2675,Robert,Kramer,1954-10-28,,"Chicago,USA",,,,
2676,Hans,Krása,,1944-10-17,"Prague,Czechoslovakia","Auschwitz,Poland",,,
