BiolayoutID,id_Food,Food Code,Food Name,Description,Group,Group (sub-class),Constant,Energy kJ kJ,Previous,Comments,Description Footnote,LEnergy (kcal) (kcal),LProtein (g),LCarbohydrate (g),LTotal Sugars (g),LStarch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water g,Total nitrogen g,Protein g,Fat g,Carbohydrate g,Energy kcal kcal,Starch g,Oligosaccharide g,Total sugars g,Glucose g,Galactose g,Fructose g,Sucrose g,Maltose g,Lactose g,Alcohol g,NSP g,AOAC fibre g,Satd FA /100g FA g,Satd FA /100g fd g,n-6 poly /100g FA g,n-6 poly /100g food g,n-3 poly /100g FA g,n-3 poly /100g food g,cis-Mono FA /100g FA g,cis-Mono FA /100g Food g,Mono FA/ 100g FA g,Mono FA /100g food g,cis-Polyu FA /100g FA g,cis-Poly FA /100g Food g,Poly FA /100g FA g,Poly FA /100g food g,Sat FA excl Br /100g FA g,Sat FA excl Br /100g food g,Branched chain FA /100g FA g,Branched chain FA /100g food g,ans FAs /100g FA g,ans FAs /100g food g,Cholesterol mg,Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium mg,Potassium mg,Calcium mg,Magnesium mg,Phosphorus mg,Iron mg,Copper mg,Zinc mg,Chloride mg,Manganese mg,Selenium µg,Iodine µg
"Beef, silverside, salted, boiled, lean",382,18-060,"Beef, silverside, salted, boiled, lean",Calculated from 88% lean and 11% fat,Meat and meat products ,MAC,255,772,50-379 ,As MPG 18-060,,184,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4,4.86,30.4,6.9,0,184,0,0,0,0,0,0,0,0,0,0,0,0,39.5,2.5,0,0,0,0,0,0,54.7,3.4,0,0,5.1,0.3,0,0,0,0,3.5,0.2,74,0,8,0,0.7,0.1,0,0.05,0.27,2.6,6.8,0,0.39,2,12,0.4,2,0,1020,190,10,17,150,2,0,5.3,1690,0.02,10,11
"Beef, rump steak, lean only, grilled",383,18-474,"Beef, rump steak, lean only, grilled",10 samples,Meat and meat products ,MAC,253,745,18-049 50-375 ,"Data as MPG supplement, 18-049, with folate, iron and vitamin D data from LGC reports",,177,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.9,4.96,31,5.9,0,177,0,0,0,0,0,0,0,0,0,0,0,0,45.9,2.5,0,0,0,0,0,0,46.2,2.5,0,0,9.2,0.5,0,0,0,0,3.3,0.2,76,0,8,0,0.4,0.07,0,0.13,0.28,6.8,7,0,0.65,3,5,0.91,2,0,74,430,7,29,260,3.6,0.04,5.6,62,0.02,10,12
"Beef, rump steak, lean only, fried",384,18-473,"Beef, rump steak, lean only, fried",10 samples,Meat and meat products ,MAC,251,770,18-047 50-374  ,"Data as MPG and FA Supplements 18-047, with folate from LGC 'Individual folates in foodstuffs' 1996, Food Surveillance Information Sheet No.92",,183,30.9,0,0,0,0,0,0,0,8.3,5.6,0,1.9,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7,4.94,30.9,6.6,0,183,0,0,0,0,0,0,0,0,0,0,0,0,41.4,2.41,13.46,0.81,1.41,0.09,39.43,2.38,43.2,2.52,13.87,0.84,14.9,0.9,39.8,2.41,1.63,0.1,3.27,0.2,86,0,8,1,0.7,0.18,0,0.14,0.29,5.9,6.7,12.6,0.63,2,5,0.74,2,0,78,390,5,25,240,3,0.02,5.2,50,0.02,10,9
"Beef, rump steak, lean and fat, fried",385,18-472,"Beef, rump steak, lean and fat, fried",Calculated from 87% lean and 12% fat,Meat and meat products ,MAC,250,953,18-048 50-372 ,"Data as MPG Supplement 18-048, with folate from LGC 'Individual folates in foodstuffs' 1996, Food Surveillance Information Sheet No.92",,228,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2,4.54,28.4,12.7,0,228,0,0,0,0,0,0,0,0,0,0,0,0,41.4,4.9,0,0,0,0,0,0,43.7,5.2,0,0,13.4,1.6,0,0,0,0,3.3,0.4,84,0,7,0,0.6,0,0,0.13,0.27,5.3,6,11.3,0.57,2,5,0.7,2,0,71,360,5,23,220,2.7,0.02,4.7,47,0.02,9,9
"Beef, rump steak, lean and fat, raw",386,18-471,"Beef, rump steak, lean and fat, raw",Calculated from 88% lean and 11% fat,Meat and meat products ,MAC,249,726,18-044 50-371 ,"Data as MPG Supplement 18-044. Iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997 and folate from LGC 'Individual folates in foodstuffs' 1996. Vitamin K1 Bolton-Smith BrJ Nutr 83, 2000",,174,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,68.2,3.31,20.7,10.1,0,174,0,0,0,0,0,0,0,0,0,0,0,0,45.5,4.3,0,0,0,0,0,0,46.3,4.4,0,0,6.6,0.6,0,0,0,0,3.4,0.3,60,0,0,0,0.4,0.04,0.8,0.09,0.23,4.9,4.5,0,0.61,2,5,0.65,1,0,56,350,4,22,200,2.7,0.04,3.5,38,0,7,11
"Beef, mince, stewed",387,18-470,"Beef, mince, stewed",10 samples,Meat and meat products ,MAC,248,870,18-038 50-370  ,"Data from MPG and FA Supplements as 18-038. Iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997. Vitamin D from-LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997, Vitamin K1 Bolton-Smith BrJ Nutr 83, 2000",,209,21.8,0,0,0,0,0,0,0,0.3,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.5,0,0,0,0,0,0,0,0,64.4,3.49,21.8,13.5,0,209,0,0,0,0,0,0,0,0,0,0,0,0,47.5,5.72,3.13,0.4,1.25,0.16,41.22,5.21,47.3,5.71,2.99,0.38,4.4,0.56,45.31,5.72,2.23,0.28,5.36,0.68,79,9,25,13,0.8,0.34,7.18,0.03,0.19,4.6,4.4,9,0.28,2,17,0.36,5,0,73,210,20,15,150,2.7,0.1,5,63,0.02,7,14
"Beef, mince, raw",388,18-469,"Beef, mince, raw",10 samples,Meat and meat products ,MAC,247,934,18-036 50-369  ,"Data from Meat, Poultry and Game and Fatty Acid Supplements 18-306, with vitamin D data from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997, Food Surveillance Information Sheet No.101",,225,19.7,0,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3.15,19.7,16.2,0,225,0,0,0,0,0,0,0,0,0,0,0,0,48.2,6.94,2.35,0.36,0.77,0.12,41.7,6.3,47.9,6.94,1.96,0.3,3.1,0.48,45.94,6.94,2.22,0.34,5.37,0.81,60,0,0,0,0.7,0.17,0,0.06,0.13,5.8,3.6,9.4,0.37,2,14,0.49,1,0,80,260,9,17,160,1.4,0,3.9,76,0,7,9
"Beef, stewing steak, stewed, lean and fat",389,18-081,"Beef, stewing steak, stewed, lean and fat",Calculated from 84% lean and 14% fat,Meat and meat products ,MAC,260,852,50-384  ,As MPG and FA supplements 18-081,,203,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.4,4.67,29.2,9.6,0,203,0,0,0,0,0,0,0,0,0,0,0,0,41.6,3.7,11.08,0.99,1,0.09,42.59,3.82,47,4.2,11.6,1.04,10.3,0.9,38.13,3.42,1.8,0.16,3.01,0.27,91,0,7,0,0.6,0.17,0,0.03,0.15,2.4,6.2,0,0.23,2,11,0.3,2,0,51,250,15,19,180,2.3,0.04,7.5,33,0.01,10,12
"Beef, topside, roasted medium-rare, lean",390,18-088,"Beef, topside, roasted medium-rare, lean",10 samples,Meat and meat products ,MAC,263,736,50-387 ,As MPG 18-088,,175,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,62.2,5.15,32.2,5.1,0,175,0,0,0,0,0,0,0,0,0,0,0,0,45,2.1,0,0,0,0,0,0,49.1,2.3,0,0,5.4,0.2,0,0,0,0,4,0.2,68,0,0,0,0.4,0.04,0,0.06,0.32,5.4,6.6,0,0.54,2,14,0.55,2,0,66,390,5,25,230,2.5,0.07,5.6,56,0.02,10,9
"Beef, topside, raw, lean and fat",391,18-085,"Beef, topside, raw, lean and fat",Calculated from 84% lean and 15% fat,Meat and meat products ,MAC,261,824,50-385 ,As MPG 18-085,,198,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,3.26,20.4,12.9,0,198,0,0,0,0,0,0,0,0,0,0,0,0,45,5.4,0,0,0,0,0,0,48.3,5.8,0,0,6.2,0.8,0,0,0,0,3.3,0.4,48,0,0,0,0.4,0.13,0,0.08,0.17,4.6,4.3,0,0.48,2,22,0.59,1,0,67,340,5,22,190,1.7,0.07,3.5,44,0.02,7,9
"Beef, stewing steak, raw, lean and fat",392,18-077,"Beef, stewing steak, raw, lean and fat",Calculated from 90% lean and 9% fat,Meat and meat products ,MAC,259,613,50-383 ,As MPG 18-077,,146,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1,3.54,22.1,6.4,0,146,0,0,0,0,0,0,0,0,0,0,0,0,43.9,2.6,0,0,0,0,0,0,48.4,2.9,0,0,6,0.4,0,0,0,0,4,0.2,69,0,0,0,0.7,0.2,0,0.07,0.26,4,4.3,0,0.42,2,6,0.65,1,0,66,340,5,20,180,2,0.04,5.3,66,0,7,13
"Beef, topside, roasted medium-rare, lean and fat",393,18-089,"Beef, topside, roasted medium-rare, lean and fat",Calculated from 87% lean and 12% fat,Meat and meat products ,MAC,262,930,50-386  ,As MPG and FA Supplements 18-089,,222,29.9,0,0,0,0,0,0.5,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6,4.78,29.9,11.4,0,222,0,0,0,0,0,0,0,0,0,0,0,0,44.9,4.8,4.1,0.44,0.99,0.11,45.15,4.81,48.5,5.2,3.99,0.43,5.1,0.5,42.93,4.57,2.01,0.21,4.12,0.44,71,0,0,0,0.4,0.05,0,0.06,0.3,4.9,5.9,0,0.5,2,15,0.55,2,0,62,360,5,23,210,2.3,0.06,5.1,54,0.02,9,10
"Beef, brisket, boiled, lean and fat",394,18-015,"Beef, brisket, boiled, lean and fat",Calculated from 82% lean and 15% fat,Meat and meat products ,MAC,243,1116,50-365 ,As MPG 18-015,,268,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7,4.45,27.8,17.4,0,268,0,0,0,0,0,0,0,0,0,0,0,0,44.3,7.2,0,0,0,0,0,0,47.6,7.7,0,0,4.1,0.7,0,0,0,0,4.7,0.8,76,0,7,0,0.6,0.02,0,0.04,0.2,3.7,6,0,0.19,2,15,0.49,2,0,46,230,8,19,170,1.9,0,5.6,51,0.02,9,10
"Beef, brisket, raw, lean and fat",395,18-013,"Beef, brisket, raw, lean and fat",Calculated from 79% lean and 19% fat,Meat and meat products ,MAC,242,905,50-364 ,As MPG 18-013,,218,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8,2.94,18.4,16,0,218,0,0,0,0,0,0,0,0,0,0,0,0,44.9,6.7,0,0,0,0,0,0,47.6,7.1,0,0,4.1,0.6,0,0,0,0,4.8,0.7,53,0,0,0,0.4,0.12,0,0.08,0.21,4,3.7,0,0.43,2,14,0.63,1,0,50,280,4,18,160,1.5,0.03,2.9,43,0,6,9
"Beef, average, fat, cooked",396,18-005,"Beef, average, fat, cooked",LGC; average of 8 different cuts,Meat and meat products ,MAC,241,2199,50-362 18-458 ,"As MPG 18-005 (fatty acid data from 18-458 not integrated, data from different cuts of meat)",,533,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,2.48,15.5,52.3,0,533,0,0,0,0,0,0,0,0,0,0,0,0,48.7,24.3,0,0,0,0,0,0,47,23.4,0,0,3.7,1.8,0,0,0,0,4.8,2.4,97,0,0,0,0,0.08,0,0.05,0.18,1.6,1.8,0,0.23,2,26,0.6,2,0,35,200,6,12,110,1,0.01,1.5,39,0.01,3,14
"Beef, average, trimmed fat, raw",397,18-003,"Beef, average, trimmed fat, raw",LGC; average of 10 different cuts,Meat and meat products ,MAC,240,2305,50-361 18-431 ,As MPG 18-003 (fatty acid data in 18-431 not integrated because samples are from different cuts of meat),,558,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3.02,18.9,53.6,0,558,0,0,0,0,0,0,0,0,0,0,0,0,48.7,24.9,0,0,0,0,0,0,47.4,24.2,0,0,3.3,1.7,0,0,0,0,4.7,2.4,72,0,0,0,0,0.06,0,0.04,0.13,1.2,1.7,0,0.17,1,18,0.43,1,0,26,140,5,9,79,0.7,0.02,1.1,28,0,2,10
"Beef, fore-rib/rib-roast, raw, lean and fat",398,18-029,"Beef, fore-rib/rib-roast, raw, lean and fat",Calculated from 75% lean and 25% fat,Meat and meat products ,MAC,244,1052,50-366 ,As MPG 18-029,,253,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4,3.01,18.8,19.8,0,253,0,0,0,0,0,0,0,0,0,0,0,0,48.1,8.9,0,0,0,0,0,0,47.6,8.8,0,0,3.8,0.7,0,0,0,0,4.2,0.8,59,0,6,0,0.4,0.12,0,0.09,0.21,4.1,5.3,0,0.43,2,16,0.66,1,0,52,290,5,19,170,1.5,0.03,2.9,44,0,6,10
"Beef, fore-rib/rib-roast, roasted, lean and fat",399,18-034,"Beef, fore-rib/rib-roast, roasted, lean and fat",Calculated from 78% lean and 22% fat,Meat and meat products ,MAC,245,1250,50-367 ,As MPG 18-034,,300,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8,4.64,29.1,20.4,0,300,0,0,0,0,0,0,0,0,0,0,0,0,48.1,9.2,0,0,0,0,0,0,47.5,9.1,0,0,3.9,0.7,0,0,0,0,4.2,0.8,83,0,6,0,0.6,0.19,0,0.06,0.17,4.5,6.1,0,0.36,3,19,0.54,2,0,54,320,8,20,190,1.8,0,6.1,58,0,10,12
"Beef, fore-rib/rib-roast, roasted, lean",400,18-033,"Beef, fore-rib/rib-roast, roasted, lean",10 samples,Meat and meat products ,MAC,246,988,50-368 ,As MPG 18-033,,236,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,5.33,33.3,11.4,0,236,0,0,0,0,0,0,0,0,0,0,0,0,48.2,5.1,0,0,0,0,0,0,47.3,5,0,0,4.1,0.4,0,0,0,0,4,0.4,81,0,8,0,0.8,0.22,0,0.06,0.16,5.3,7.5,0,0.4,3,18,0.53,2,0,57,360,9,23,220,2,0,7.4,64,0,11,12
"Chicken, meat, average, roasted",401,18-331,"Chicken, meat, average, roasted",Calculated from 46% light meat and 54% dark meat from fresh and frozen chicken,Meat and meat products ,MCA,321,742,50-438 ,As MPG 18-331,,177,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,4.37,27.3,7.5,0,177,0,0,0,0,0,0,0,0,0,0,0,0,29.1,2.1,0,0,0,0,0,0,48.1,3.4,0,0,21,1.5,0,0,0,0,1.1,0.1,105,11,0,11,0.2,0.23,0,0.07,0.16,9.2,5.3,0,0.36,0,10,1.39,3,0,80,330,11,26,220,0.7,0.1,1.5,75,0.02,16,7
"Chicken, skin, dry, roasted/grilled",402,18-332,"Chicken, skin, dry, roasted/grilled",34 samples; crisply roasted,Meat and meat products ,MCA,18332,2070,18-448 ,As MPG 18-332 with fatty acids from FA 18-448,,501,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.7,0,0,0,0,0,0,0,0,31.1,3.45,21.5,46.1,0,501,0,0,0,0,0,0,0,0,0,0,0,0,29.7,12.9,0,0,0,0,0,0,51.6,22.5,0,0,17.6,7.7,0,0,0,0,1.5,0.6,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,260,16,26,210,1.3,0.05,1.2,0,0.03,0,0
"Chicken, dark meat, roasted",403,18-329,"Chicken, dark meat, roasted",19 samples of a mixture of fresh and frozen chicken,Meat and meat products ,MCA,324,819,50-441  ,As MPG and FA supplements 18-329,,196,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,3.9,24.4,10.9,0,196,0,0,0,0,0,0,0,0,0,0,0,0,28.4,2.9,17.26,0.6,3.89,0.13,45.74,1.58,49.2,5.1,20.83,0.72,20.8,2.2,29.37,1.02,0.46,0.02,0.81,0.08,120,24,0,24,0.1,0.23,0,0.07,0.11,6.2,5.3,0,0.27,1,10,1.34,4,0,100,300,17,23,200,0.8,0.08,2.2,88,0.02,17,6
"Chicken, light meat, roasted",404,18-330,"Chicken, light meat, roasted",19 samples of a mixture of fresh and frozen chicken,Meat and meat products ,MCA,323,645,50-440  ,"As MPG and FA supplements 18-330, Vitamin K1 from Bolton-Smith et al Br. J. Nutr. 83, 2000",,153,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,66.9,4.83,30.2,3.6,0,153,0,0,0,0,0,0,0,0,0,0,0,0,29.8,1,17.57,1.81,3.22,0.33,48.54,5,46.8,1.6,20.69,2.13,21.2,0.7,28.08,2.89,0.35,0.04,1.37,0.05,82,0,0,0,0.3,0.31,0.04,0.07,0.23,12.6,5.5,0,0.54,0,10,1.38,2,0,60,360,7,30,250,0.4,0.17,0.8,62,0.01,14,7
"Chicken, wing quarter, casseroled, meat and skin",405,18-321,"Chicken, wing quarter, casseroled, meat and skin","Calculated from 60% light meat, 21% dark meat and 19% skin",Meat and meat products ,MCA,18321,877,18-450 ,"As MPG 18-321 (note that fatty acid data is available for a mixture of casseroled dark meat, not only wings, in obsoleted FA 18-450)",,210,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3.9,24.4,12.5,0,210,0,0,0,0,0,0,0,0,0,0,0,0,29.4,3.5,0,0,0,0,0,0,49,5.8,0,0,19.5,2.3,0,0,0,0,1.3,0.1,99,16,0,16,0.2,0.16,0,0.06,0.12,7,4.5,0,0.29,0,6,1.18,2,0,60,230,15,21,180,0.6,0.07,1.3,60,0.01,13,7
"Chicken, meat only, average, raw",406,18-488,"Chicken, meat only, average, raw",Calculated from 44% light meat and 56% dark meat,Meat and meat products ,MCA,314,457,18-291 50-431 ,"As MPG Supplement 18-291, with folate from LGC 'Individual folates in foodstuffs' 1996, Food Surveillance Information Sheet No.92",,108,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,3.57,22.3,2.1,0,108,0,0,0,0,0,0,0,0,0,0,0,0,29.1,0.6,0,0,0,0,0,0,48.1,1,0,0,21,0.4,0,0,0,0,1.1,0,90,11,0,11,0.1,0.15,0,0.14,0.18,7.8,4.3,8.2,0.38,0,19,1.16,2,0,77,380,6,26,160,0.7,0.03,1.2,95,0.01,13,6
"Chicken, dark meat, raw",407,18-289,"Chicken, dark meat, raw",31 samples,Meat and meat products ,MCA,317,459,50-434  ,"As MPG and FA supplements 18-289, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,109,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8,3.34,20.9,2.8,0,109,0,0,0,0,0,0,0,0,0,0,0,0,28.4,0.8,17.57,0.46,3.31,0.09,48.54,1.28,49.2,1.3,20.69,0.55,20.8,0.6,28.08,0.74,0,0,0.81,0.02,105,20,0,20,0.1,0.17,0.05,0.14,0.22,5.6,4.1,0,0.28,1,9,1.09,3,0,90,390,7,24,110,0.8,0.02,1.7,110,0.01,14,6
"Chicken, light meat, raw",408,18-290,"Chicken, light meat, raw",31 samples,Meat and meat products ,MCA,316,449,50-433  ,As MPG and FA 18-290,,106,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,3.84,24,1.1,0,106,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0.3,17.26,0.18,3.98,0.04,45.74,0.48,46.8,0.5,20.83,0.22,21.2,0.2,29.83,0.31,0.46,0,1.37,0.01,70,0,0,0,0.2,0.13,0,0.14,0.14,10.7,4.7,0,0.51,0,14,1.26,2,0,60,370,5,29,220,0.5,0.05,0.7,77,0.01,12,6
"Chicken, corn-fed, raw, dark meat only",409,18-299,"Chicken, corn-fed, raw, dark meat only",6 samples,Meat and meat products ,MCA,18299,599,18-453 ,As MPG 18-299 with fatty acids as FA 18-453,,143,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,72.5,3.12,19.5,7.2,0,143,0,0,0,0,0,0,0,0,0,0,0,0,30.4,2.1,19.37,1.32,1.96,0.13,6.09,3.14,46.5,3.2,21.37,1.46,21.4,1.5,30.12,2.06,0.26,0,0.42,0.03,100,31,0,31,0.5,0.05,0,0.09,0.22,5.9,3.6,0,0.34,1,6,1.28,3,0,80,300,7,23,200,0.9,0.05,1.6,83,0.01,14,5
"Chicken, thighs, casseroled, meat and skin",410,18-317,"Chicken, thighs, casseroled, meat and skin",Calculated from 77% dark meat and 23% skin from fresh and frozen chicken,Meat and meat products ,MCA,18317,969,18-450 ,"As MPG 18-317 (Note that fatty acid data is available for a mixture of types of casseroled chicken portions , not only the thighs, in obsoleted 18-450)",,233,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4,3.44,21.5,16.3,0,233,0,0,0,0,0,0,0,0,0,0,0,0,28.7,4.4,0,0,0,0,0,0,49.5,7.6,0,0,20.3,3.1,0,0,0,0,1.4,0.2,120,30,0,30,0.2,0.34,0,0.05,0.11,4.9,3.9,0,0.2,0,8,1.04,3,0,70,170,26,16,170,1,0.07,1.8,70,0.02,15,7
"Chicken, corn-fed, raw, light meat only",411,18-300,"Chicken, corn-fed, raw, light meat only",6 samples,Meat and meat products ,MCA,18300,496,18-452 ,As MPG 18-300 and FA supplement 18-452,,117,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,73.4,3.69,23,2.8,0,118,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0.8,19.19,0.51,2.32,0.06,44.52,1.19,44.9,1.2,21.56,0.57,21.7,0.6,30.48,0.81,0.3,0.01,0.52,0.01,70,14,0,14,0.5,0.19,0,0.07,0.11,11.5,4.4,0,0.77,0,10,1.2,2,0,90,330,9,28,230,0.4,0.09,0.8,66,0.01,12,5
"Chicken, breast, casseroled, meat and skin",412,18-308,"Chicken, breast, casseroled, meat and skin",Calculated from 90% light meat and 10% skin from fresh and frozen chicken,Meat and meat products ,MCA,18308,772,18-449 ,"As MPG 18-308 (chicken, fresh, casseroled with skin, light meat FA 18-449  not integrated, different samples and values)",,184,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,4.3,26.9,8.5,0,184,0,0,0,0,0,0,0,0,0,0,0,0,29.7,2.4,0,0,0,0,0,0,48.6,3.9,0,0,19.4,1.6,0,0,0,0,1.2,0.1,92,6,0,6,0.1,0.07,0,0.06,0.13,8.3,5.1,0,0.34,0,6,1.27,2,0,60,260,10,24,200,0.5,0.06,1.1,60,0.01,14,8
"Duck, raw, meat only",413,18-489,"Duck, raw, meat only","19 samples, meat from dressed carcase",Meat and meat products ,MCC,327,575,18-369 40-327 50-445 18-461 ,"Data as MPG Supplement 18-369 and FA 18-461, with selenium from SAC 'Analysis of foods for Selenium' 1994 MAFF Project 2B006.",,137,19.7,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8,3.15,19.7,6.5,0,137,0,0,0,0,0,0,0,0,0,0,0,0,32.7,2,14.4,0.88,1.4,0.09,50.7,3.11,51.6,3.2,15.6,0.96,15.8,1,32.7,2.01,0,0,1.1,0.1,110,24,0,24,0,0.02,0,0.36,0.45,5.3,4.2,9.5,0.34,3,25,1.6,6,0,110,290,12,19,200,2.4,0.34,1.9,98,0,22,0
"Duck, raw, meat, fat and skin",414,18-371,"Duck, raw, meat, fat and skin","10 samples; meat, fat and skin = 0.57 of dressed carcase",Meat and meat products ,MCC,328,1603,50-446 18-462 ,As MPG 18-371. Additional fatty acid data from a different sample is available from 18-462.,,388,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,2.1,13.1,37.3,0,388,0,0,0,0,0,0,0,0,0,0,0,0,30.3,10.7,0,0,0,0,0,0,53.9,19,0,0,15.9,5.6,0,0,0,0,1,0.4,72,51,0,51,0,0,0,0.14,0.51,3.5,2.4,0,0.33,2,7,0.95,0,0,73,190,8,14,120,1.3,0.18,1.3,62,0,0,0
